ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
71	"ENSG00000205581"	"HMGN1"	chr21	-	39347378	39347478	39345829	39345958	39348291	39348339	71	3	0	0	1	199	100	2.93359025266e-05	0.00144222629965	1.0	0.0	1.0
72	"ENSG00000205581"	"HMGN1"	chr21	-	39347378	39347483	39345145	39345274	39348291	39348339	72	1	110	0	82	200	100	1	1.0	0.005	0.0	0.005
73	"ENSG00000205581"	"HMGN1"	chr21	-	39347378	39347483	39345829	39345958	39348291	39348339	73	4	0	0	1	200	100	1.94715359574e-05	0.0012336312933	1.0	0.0	1.0
77	"ENSG00000157557"	"ETS2"	chr21	+	38806450	38806808	38805950	38806120	38810034	38810106	77	0	34	2	89	200	100	1	1.0	0.0	0.011	-0.011
78	"ENSG00000157540"	"DYRK1A"	chr21	+	37410569	37410670	37367576	37367628	37420298	37420384	78	1	137	1	270	200	100	1	1.0	0.004	0.002	0.002
79	"ENSG00000157540"	"DYRK1A"	chr21	+	37415489	37415565	37367580	37367628	37420298	37420384	79	5	137	4	270	175	100	0.387152966397	0.668526997208	0.02	0.008	0.012
80	"ENSG00000157540"	"DYRK1A"	chr21	+	37420298	37420384	37367580	37367628	37472683	37472811	80	231	4	372	3	185	100	0.341802451264	0.632055561936	0.969	0.985	-0.016
81	"ENSG00000157540"	"DYRK1A"	chr21	+	37430268	37430400	37420324	37420384	37472683	37472715	81	2	108	4	115	200	100	0.723954134427	0.931717706717	0.009	0.017	-0.008
96	"ENSG00000205726"	"ITSN1"	chr21	+	33689321	33689383	33642451	33642713	33718796	33718856	96	5	18	0	7	161	100	0.00878431940541	0.0671902024305	0.147	0.0	0.147
104	"ENSG00000205726"	"ITSN1"	chr21	+	33823486	33823653	33819240	33819323	33826817	33826863	104	64	1	8	6	200	100	9.30185555914e-06	0.000854616643481	0.97	0.4	0.57
105	"ENSG00000205726"	"ITSN1"	chr21	+	33826817	33826863	33819240	33819323	33829623	33829686	105	20	45	9	19	145	100	0.943721662915	1.0	0.235	0.246	-0.011
111	"ENSG00000142188"	"TMEM50B"	chr21	-	33436882	33436992	33432484	33432802	33439213	33439297	111	4	1	3	0	200	100	0.0706942717991	0.265361318455	0.667	1.0	-0.333
112	"ENSG00000142188"	"TMEM50B"	chr21	-	33447017	33447140	33439213	33439297	33448781	33449189	112	0	4	6	4	200	100	0.000683753734774	0.0121462443059	0.0	0.429	-0.429
113	"ENSG00000142188"	"TMEM50B"	chr21	-	33455726	33455784	33448781	33450863	33460412	33460505	113	53	1	35	0	157	100	0.33498094361	0.628473698344	0.971	1.0	-0.029
114	"ENSG00000142188"	"TMEM50B"	chr21	-	33456003	33456097	33455726	33455784	33460412	33460505	114	3	43	7	27	193	100	0.0536427349807	0.222247896628	0.035	0.118	-0.083
115	"ENSG00000159128"	"IFNGR2"	chr21	+	33410835	33410892	33403426	33403616	33414887	33415020	115	0	22	1	30	156	100	0.42024053769	0.697411924173	0.0	0.021	-0.021
120	"ENSG00000249624"	"AP000295.1"	chr21	+	33276595	33276753	33268393	33268517	33279751	33279918	120	67	2	64	3	200	100	0.56890248554	0.815355749815	0.944	0.914	0.03
130	"ENSG00000156256"	"USP16"	chr21	+	29025708	29025771	29024650	29024777	29027872	29027974	130	29	10	27	3	162	100	0.069878212112	0.263915959154	0.642	0.847	-0.205
132	"ENSG00000156256"	"USP16"	chr21	+	29027872	29027974	29024628	29024777	29030594	29030773	132	74	1	41	4	200	100	0.0285559365222	0.146496048126	0.974	0.837	0.137
135	"ENSG00000154723"	"ATP5J"	chr21	-	25734332	25734375	25729630	25729801	25734852	25734904	135	8	1488	18	657	142	100	0.0521535406272	0.217939571808	0.004	0.019	-0.015
141	"ENSG00000154640"	"BTG3"	chr21	-	17604144	17604276	17598616	17598824	17604859	17604997	141	7	11	1	9	200	100	0.0352878723082	0.168046701026	0.241	0.053	0.188
142	"ENSG00000154640"	"BTG3"	chr21	-	17604859	17604997	17598616	17598824	17608971	17609152	142	14	0	15	1	200	100	0.314990365766	0.611783375329	1.0	0.882	0.118
149	"ENSG00000180530"	"NRIP1"	chr21	-	15014343	15014466	14961234	14968526	15043494	15043574	149	40	9	46	13	200	100	0.633780139315	0.864312919852	0.69	0.639	0.051
150	"ENSG00000180530"	"NRIP1"	chr21	-	15014343	15014466	14961234	14968526	15064744	15065000	150	26	0	6	2	200	100	0.00579308125116	0.0509928148645	1.0	0.6	0.4
151	"ENSG00000180530"	"NRIP1"	chr21	-	15014343	15014466	14991200	14991306	15043494	15043574	151	14	0	42	1	200	100	0.273193545481	0.587473787587	1.0	0.955	0.045
152	"ENSG00000180530"	"NRIP1"	chr21	-	15043494	15043574	14961234	14968526	15064744	15064805	152	13	0	65	2	179	100	0.238157559882	0.577871523455	1.0	0.948	0.052
173	"ENSG00000280071"	"FP565260.6"	chr21	-	5121710	5121803	5118690	5118847	5124755	5124868	173	6	0	7	1	192	100	0.667738537665	0.889692027556	1.0	0.785	0.215
178	"ENSG00000254413"	"CHKB-CPT1B"	chr22	-	50576197	50576335	50576034	50576112	50576535	50576593	178	1918	1	1160	0	200	100	1	1.0	0.999	1.0	-0.001
179	"ENSG00000254413"	"CHKB-CPT1B"	chr22	-	50576535	50576593	50576197	50576335	50576856	50577034	179	817	1	498	0	157	100	1	1.0	0.998	1.0	-0.002
180	"ENSG00000254413"	"CHKB-CPT1B"	chr22	-	50576535	50576593	50576197	50576335	50577323	50577463	180	818	1	498	0	157	100	1	1.0	0.998	1.0	-0.002
181	"ENSG00000254413"	"CHKB-CPT1B"	chr22	-	50576535	50576637	50576197	50576335	50576856	50577034	181	1836	1	1041	0	200	100	1	1.0	0.999	1.0	-0.001
182	"ENSG00000254413"	"CHKB-CPT1B"	chr22	-	50576535	50576637	50576197	50576335	50577323	50577463	182	1175	1	684	0	200	100	1	1.0	0.998	1.0	-0.002
183	"ENSG00000254413"	"CHKB-CPT1B"	chr22	-	50576856	50577034	50576197	50576335	50577323	50577463	183	2053	1	1183	0	200	100	1	1.0	0.999	1.0	-0.001
184	"ENSG00000254413"	"CHKB-CPT1B"	chr22	-	50576856	50577034	50576535	50576593	50577323	50577463	184	2052	1	1183	0	200	100	1	1.0	0.999	1.0	-0.001
185	"ENSG00000254413"	"CHKB-CPT1B"	chr22	-	50576856	50577034	50576535	50576637	50577323	50577463	185	2714	1	1540	0	200	100	1	1.0	0.999	1.0	-0.001
186	"ENSG00000254413"	"CHKB-CPT1B"	chr22	-	50578548	50578659	50577774	50577934	50579035	50579255	186	417	1	389	0	200	100	1	1.0	0.995	1.0	-0.005
187	"ENSG00000205560"	"CPT1B"	chr22	-	50573807	50573921	50573519	50573715	50574334	50574419	187	3	753	4	426	200	100	1	1.0	0.002	0.005	-0.003
189	"ENSG00000100239"	"PPP6R2"	chr22	+	50388985	50389111	50372071	50372150	50391866	50392015	189	23	1	22	0	200	100	0.229927504771	0.577871523455	0.92	1.0	-0.08
190	"ENSG00000100239"	"PPP6R2"	chr22	+	50388985	50389111	50372071	50372150	50393892	50394135	190	21	111	27	53	200	100	0.00630609010851	0.0540255413982	0.086	0.203	-0.117
191	"ENSG00000100239"	"PPP6R2"	chr22	+	50391866	50392015	50372071	50372150	50393892	50394135	191	16	111	4	53	200	100	0.177405878718	0.496195299937	0.067	0.036	0.031
192	"ENSG00000100239"	"PPP6R2"	chr22	+	50391866	50392015	50388985	50389111	50393892	50394135	192	22	5	10	12	200	100	0.00653520271876	0.0551720394775	0.688	0.294	0.394
193	"ENSG00000100239"	"PPP6R2"	chr22	+	50406688	50406875	50393892	50394135	50414551	50414689	193	125	3	75	0	200	100	0.133926387965	0.407917214265	0.954	1.0	-0.046
194	"ENSG00000100239"	"PPP6R2"	chr22	+	50418866	50418979	50416091	50416157	50419348	50419462	194	236	3	159	1	200	100	0.389305705248	0.670187084226	0.975	0.988	-0.013
195	"ENSG00000100239"	"PPP6R2"	chr22	+	50436987	50437068	50436366	50436452	50437505	50437603	195	82	74	93	30	180	100	0.000421164365831	0.0086832344623	0.381	0.633	-0.252
196	"ENSG00000185386"	"MAPK11"	chr22	-	50267568	50267627	50267370	50267482	50267819	50267949	196	17	1	26	1	158	100	0.962606272441	1.0	0.915	0.943	-0.028
197	"ENSG00000128159"	"TUBGCP6"	chr22	-	50220191	50221874	50219956	50220015	50222027	50222102	197	37	0	17	2	200	100	0.0307262575672	0.153734544583	1.0	0.81	0.19
198	"ENSG00000128159"	"TUBGCP6"	chr22	-	50220250	50221874	50219956	50220015	50222027	50222102	198	69	0	43	2	200	100	0.147717514567	0.435834879851	1.0	0.915	0.085
199	"ENSG00000128159"	"TUBGCP6"	chr22	-	50221274	50221874	50219956	50220015	50222027	50222102	199	37	0	16	2	200	100	0.0281518497462	0.14510315433	1.0	0.8	0.2
200	"ENSG00000128159"	"TUBGCP6"	chr22	-	50226998	50227077	50226732	50226842	50227906	50228028	200	50	1	26	0	178	100	0.307089436119	0.606703229039	0.966	1.0	-0.034
206	"ENSG00000184164"	"CRELD2"	chr22	+	49922296	49922443	49921584	49921761	49922611	49922707	206	11	50	0	28	200	100	0.00122938398113	0.0178679454308	0.099	0.0	0.099
217	"ENSG00000075240"	"GRAMD4"	chr22	+	46676599	46676668	46675467	46675552	46677146	46679683	217	83	3	78	1	168	100	0.211211484137	0.560467810934	0.943	0.979	-0.036
218	"ENSG00000075234"	"TTC38"	chr22	+	46269141	46269289	46268513	46268591	46272334	46272416	218	4	11	0	10	200	100	0.0119780540173	0.0812994327374	0.154	0.0	0.154
219	"ENSG00000075234"	"TTC38"	chr22	+	46275247	46275421	46273897	46274069	46278585	46278661	219	100	0	81	1	200	100	0.376458711384	0.659680990339	1.0	0.976	0.024
220	"ENSG00000075234"	"TTC38"	chr22	+	46281970	46282151	46281598	46281718	46283972	46284032	220	0	63	4	39	200	100	0.0595315911	0.237943717141	0.0	0.049	-0.049
221	"ENSG00000075234"	"TTC38"	chr22	+	46292202	46292328	46289825	46289899	46292790	46292933	221	17	63	13	27	200	100	0.229997616794	0.577871523455	0.119	0.194	-0.075
224	"ENSG00000100376"	"FAM118A"	chr22	+	45337833	45337968	45336394	45336411	45340385	45340882	224	2	13	0	10	200	100	0.178577331055	0.498562267414	0.071	0.0	0.071
225	"ENSG00000100364"	"KIAA0930"	chr22	-	45207572	45207772	45205792	45205912	45211955	45212081	225	1	39	0	49	200	100	0.904561221873	1.0	0.013	0.0	0.013
228	"ENSG00000093000"	"NUP50"	chr22	+	45166308	45166430	45163986	45164296	45168167	45168246	228	4	37	4	30	200	100	0.799616960433	0.992864473894	0.051	0.063	-0.012
234	"ENSG00000093000"	"NUP50"	chr22	+	45178237	45178900	45175893	45176080	45181285	45181367	234	66	0	26	4	200	100	0.00136170655057	0.0190686108184	1.0	0.765	0.235
238	"ENSG00000248405"	"PRR5-ARHGAP8"	chr22	+	44725243	44725292	44714590	44714671	44726576	44726634	238	16	1	4	0	148	100	0.231360260779	0.577871523455	0.915	1.0	-0.085
243	"ENSG00000100266"	"PACSIN2"	chr22	-	42876887	42877010	42876136	42876333	42879047	42879169	243	351	4	291	0	200	100	0.479304534621	0.749484150011	0.978	1.0	-0.022
244	"ENSG00000100266"	"PACSIN2"	chr22	-	42880616	42880622	42879047	42879169	42882183	42882304	244	1	140	1	95	105	100	1	1.0	0.007	0.01	-0.003
246	"ENSG00000100266"	"PACSIN2"	chr22	-	42912020	42912157	42893456	42893613	42959571	42959899	246	139	0	103	1	200	100	0.456540903325	0.73086253226	1.0	0.981	0.019
247	"ENSG00000100266"	"PACSIN2"	chr22	-	42912020	42912157	42893456	42893613	42959798	42959881	247	181	2	124	7	200	100	0.0193614844112	0.112227692177	0.978	0.899	0.079
248	"ENSG00000100266"	"PACSIN2"	chr22	-	42912020	42912157	42893456	42893613	43015020	43015098	248	175	3	150	5	200	100	0.333142136373	0.627282266536	0.967	0.938	0.029
250	"ENSG00000100243"	"CYB5R3"	chr22	-	42646640	42646701	42636714	42636846	42646885	42646960	250	23	25	21	41	160	100	0.155685600006	0.452154193469	0.365	0.242	0.123
251	"ENSG00000183569"	"SERHL2"	chr22	+	42554937	42555087	42553858	42554042	42555231	42555345	251	2	1	11	0	200	100	0.0850769573783	0.300782764768	0.5	1.0	-0.5
254	"ENSG00000183569"	"SERHL2"	chr22	+	42563388	42563481	42560185	42560265	42566303	42566338	254	4	4	1	0	192	100	0.000847836274838	0.0139856459498	0.342	1.0	-0.658
257	"ENSG00000100207"	"TCF20"	chr22	-	42168608	42168703	42161097	42161358	42169846	42169896	257	17	11	20	2	194	100	0.00644442033704	0.0547828293251	0.443	0.838	-0.395
258	"ENSG00000100207"	"TCF20"	chr22	-	42168608	42168736	42160012	42161358	42169846	42169896	258	25	11	46	2	200	100	0.00040088491586	0.00831590621119	0.532	0.92	-0.388
270	"ENSG00000198951"	"NAGA"	chr22	-	42067764	42067936	42067112	42067290	42068438	42068574	270	58	5	37	1	200	100	0.136704143838	0.413624789397	0.853	0.949	-0.096
277	"ENSG00000196419"	"XRCC6"	chr22	+	41628117	41628230	41621349	41622086	41636112	41636251	277	574	3	292	0	200	100	1	1.0	0.99	1.0	-0.01
278	"ENSG00000100418"	"DESI1"	chr22	-	41607839	41607861	41607261	41607331	41620751	41621096	278	278	0	154	1	121	100	1	1.0	1.0	0.992	0.008
283	"ENSG00000100412"	"ACO2"	chr22	+	41499725	41499862	41469124	41469182	41507790	41508049	283	3700	2	2292	0	200	100	1	1.0	0.999	1.0	-0.001
284	"ENSG00000100412"	"ACO2"	chr22	+	41527287	41527420	41526261	41526453	41527900	41528022	284	6847	1	4109	0	200	100	1	1.0	1.0	1.0	0.0
286	"ENSG00000100401"	"RANGAP1"	chr22	-	41284900	41285153	41280932	41281082	41285362	41285905	286	4	2	5	0	200	100	0.00661585633509	0.0554710013872	0.5	1.0	-0.5
287	"ENSG00000100401"	"RANGAP1"	chr22	-	41284900	41285153	41280932	41281082	41285543	41285965	287	9	2	3	1	200	100	0.722760888278	0.930742634352	0.692	0.6	0.092
288	"ENSG00000100399"	"CHADL"	chr22	-	41236483	41236650	41235139	41235343	41237175	41237484	288	84	0	9	1	200	100	0.581003614371	0.823279356761	1.0	0.818	0.182
291	"ENSG00000100393"	"EP300"	chr22	+	41146738	41146816	41141047	41141222	41147836	41147946	291	152	3	99	0	177	100	0.25915465643	0.584271052912	0.966	1.0	-0.034
293	"ENSG00000100372"	"SLC25A17"	chr22	-	40779757	40779894	40779008	40779125	40792524	40792676	293	9	4	2	0	200	100	0.00187983727565	0.0237187216548	0.529	1.0	-0.471
297	"ENSG00000100372"	"SLC25A17"	chr22	-	40792524	40792676	40779757	40779894	40819194	40819350	297	5	0	1	1	200	100	0.00941134358642	0.0696483755197	1.0	0.333	0.667
306	"ENSG00000100359"	"SGSM3"	chr22	+	40401592	40401675	40400695	40400813	40402138	40402205	306	31	0	26	1	182	100	0.244062474614	0.578546829972	1.0	0.935	0.065
307	"ENSG00000100359"	"SGSM3"	chr22	+	40407788	40407843	40407016	40407568	40408070	40408120	307	61	1	45	0	154	100	0.370608935602	0.655547577536	0.975	1.0	-0.025
309	"ENSG00000239900"	"ADSL"	chr22	+	40353072	40353117	40349831	40350035	40354247	40354327	309	159	0	69	6	144	100	0.000684849948918	0.0121489466683	1.0	0.889	0.111
312	"ENSG00000239900"	"ADSL"	chr22	+	40353332	40353419	40353072	40353117	40354247	40354327	312	1	130	0	58	186	100	1	1.0	0.004	0.0	0.004
315	"ENSG00000239900"	"ADSL"	chr22	+	40364879	40365056	40364275	40364365	40366435	40366489	315	103	12	30	5	200	100	0.646160835016	0.873002027598	0.811	0.75	0.061
320	"ENSG00000128272"	"ATF4"	chr22	+	39521353	39521671	39520177	39520751	39521772	39522683	320	397	1	589	0	200	100	1	1.0	0.995	1.0	-0.005
325	"ENSG00000100211"	"CBY1"	chr22	+	38656955	38657143	38656639	38656750	38665545	38665685	325	0	7	2	5	200	100	0.0519969297434	0.217460674874	0.0	0.167	-0.167
326	"ENSG00000100211"	"CBY1"	chr22	+	38665545	38665685	38656650	38656750	38668016	38668132	326	14	10	10	10	200	100	0.570214343235	0.816456815457	0.412	0.333	0.079
327	"ENSG00000100211"	"CBY1"	chr22	+	38668016	38668132	38656635	38656750	38670883	38670989	327	27	0	12	5	200	100	8.59043872161e-05	0.00268857514584	1.0	0.545	0.455
334	"ENSG00000244627"	"Z98749.2"	chr22	-	38369985	38370045	38361398	38361560	38380369	38380423	334	1	7	1	9	159	100	0.988289084974	1.0	0.082	0.065	0.017
335	"ENSG00000198792"	"TMEM184B"	chr22	-	38222641	38222662	38221144	38221710	38224784	38224979	335	30	22	14	33	120	100	0.00638835445614	0.0544171885099	0.532	0.261	0.271
337	"ENSG00000198792"	"TMEM184B"	chr22	-	38246784	38246885	38245934	38246100	38247769	38248019	337	26	84	32	59	200	100	0.100791348509	0.336681869923	0.134	0.213	-0.079
338	"ENSG00000198792"	"TMEM184B"	chr22	-	38246805	38246885	38245934	38246100	38247769	38248019	338	22	84	30	59	179	100	0.0599571186099	0.239048619033	0.128	0.221	-0.093
347	"ENSG00000184381"	"PLA2G6"	chr22	-	38144895	38144978	38143236	38143288	38145437	38145653	347	3	12	0	11	182	100	0.0360183945415	0.170240372063	0.121	0.0	0.121
351	"ENSG00000100142"	"POLR2F"	chr22	+	37958373	37958471	37956772	37956842	37959345	37959476	351	7	86	5	66	197	100	0.872673454936	1.0	0.04	0.037	0.003
354	"ENSG00000128346"	"C22orf23"	chr22	-	37951459	37951522	37947280	37947463	37953046	37953158	354	5	2	0	2	162	100	0.000583934532227	0.0109851366333	0.607	0.0	0.607
355	"ENSG00000100129"	"EIF3L"	chr22	+	37850014	37850063	37848867	37849482	37851279	37851490	355	361	7	173	0	148	100	0.0794578954714	0.287070780364	0.972	1.0	-0.028
357	"ENSG00000100129"	"EIF3L"	chr22	+	37855564	37855644	37851279	37851490	37858678	37858740	357	653	1	402	2	179	100	1	1.0	0.997	0.991	0.006
359	"ENSG00000100129"	"EIF3L"	chr22	+	37886764	37886845	37877673	37878171	37888425	37888479	359	383	1	261	2	180	100	0.618262233224	0.851956207407	0.995	0.986	0.009
366	"ENSG00000100106"	"TRIOBP"	chr22	+	37769027	37769187	37768073	37768176	37769261	37769375	366	497	0	348	1	200	100	1	1.0	1.0	0.994	0.006
367	"ENSG00000100106"	"TRIOBP"	chr22	+	37769261	37769375	37768073	37768176	37771649	37771736	367	235	0	189	1	200	100	1	1.0	1.0	0.99	0.01
375	"ENSG00000128283"	"CDC42EP1"	chr22	+	37565599	37565722	37560479	37560588	37566071	37566559	375	2	90	2	80	200	100	0.736853643366	0.94215294702	0.011	0.012	-0.001
379	"ENSG00000128309"	"MPST"	chr22	+	37023751	37023927	37019695	37019774	37024191	37024810	379	4	52	5	46	200	100	0.618129814668	0.851956207407	0.037	0.052	-0.015
380	"ENSG00000128309"	"MPST"	chr22	+	37023751	37023927	37019767	37019872	37024191	37024810	380	13	387	6	256	200	100	0.418868898994	0.695922473469	0.017	0.012	0.005
381	"ENSG00000128309"	"MPST"	chr22	+	37025001	37025127	37024191	37024810	37029215	37029796	381	18	202	15	137	200	100	0.633346100408	0.864139956595	0.043	0.052	-0.009
383	"ENSG00000100353"	"EIF3D"	chr22	-	36517300	36517431	36516704	36516790	36518762	36518910	383	259	1	246	2	200	100	0.550381704104	0.802810093796	0.992	0.984	0.008
384	"ENSG00000100353"	"EIF3D"	chr22	-	36517300	36517493	36516704	36516790	36518762	36518910	384	138	1	82	2	200	100	0.291192487757	0.595237969686	0.986	0.953	0.033
386	"ENSG00000100348"	"TXN2"	chr22	-	36468601	36468717	36467883	36467917	36476732	36476856	386	0	224	2	157	200	100	1	1.0	0.0	0.006	-0.006
387	"ENSG00000100348"	"TXN2"	chr22	-	36476732	36476856	36467035	36467917	36480574	36480748	387	607	4	290	0	200	100	0.679723298561	0.89874260792	0.987	1.0	-0.013
391	"ENSG00000100342"	"APOL1"	chr22	+	36257082	36257136	36254897	36254999	36257318	36257407	391	25	0	23	2	153	100	0.0714545769347	0.26730064638	1.0	0.883	0.117
396	"ENSG00000128284"	"APOL3"	chr22	-	36149045	36149142	36145472	36145599	36160668	36160754	396	69	18	33	19	196	100	0.0517929922824	0.21678175324	0.662	0.47	0.192
399	"ENSG00000128284"	"APOL3"	chr22	-	36149045	36149371	36145472	36145599	36160668	36160755	399	35	18	30	19	200	100	0.625170093035	0.857700613389	0.493	0.441	0.052
400	"ENSG00000128284"	"APOL3"	chr22	-	36149258	36149371	36149045	36149142	36160668	36160929	400	13	44	19	18	200	100	0.00623191702411	0.0535883161925	0.129	0.345	-0.216
401	"ENSG00000128284"	"APOL3"	chr22	-	36149770	36149964	36149258	36149371	36160668	36160755	401	2	10	0	15	200	100	0.146599734641	0.433866941482	0.091	0.0	0.091
405	"ENSG00000100320"	"RBFOX2"	chr22	-	35750425	35750457	35746472	35746561	35756104	35756144	405	4	5	0	6	131	100	0.00167725527782	0.0218511614649	0.379	0.0	0.379
406	"ENSG00000100320"	"RBFOX2"	chr22	-	35752612	35752655	35746472	35746561	35759887	35760020	406	83	5	42	4	142	100	0.612076795293	0.847209557148	0.921	0.881	0.04
407	"ENSG00000100320"	"RBFOX2"	chr22	-	35756104	35756144	35746472	35746561	35759887	35760020	407	16	5	11	4	139	100	0.84455980271	1.0	0.697	0.664	0.033
408	"ENSG00000100320"	"RBFOX2"	chr22	-	35768256	35768349	35765422	35765483	35778024	35778032	408	221	9	129	3	192	100	0.305892255845	0.605908341503	0.927	0.957	-0.03
410	"ENSG00000100320"	"RBFOX2"	chr22	-	35836319	35836439	35809779	35810004	35840191	35840413	410	4	28	0	15	200	100	0.0546446839633	0.225117906956	0.067	0.0	0.067
411	"ENSG00000221963"	"APOL6"	chr22	+	35656378	35656475	35648394	35648623	35658614	35668409	411	60	2	43	2	196	100	0.825125763849	1.0	0.939	0.916	0.023
412	"ENSG00000198125"	"MB"	chr22	-	35617162	35617265	35610883	35611106	35622477	35622561	412	7804	25	4744	15	200	100	1	1.0	0.994	0.994	0.0
413	"ENSG00000198125"	"MB"	chr22	-	35617162	35617265	35610883	35611106	35623190	35623354	413	7508	2	4522	6	200	100	1	1.0	0.999	0.997	0.002
414	"ENSG00000198125"	"MB"	chr22	-	35621965	35622096	35617162	35617265	35622477	35622524	414	73	337	35	248	200	100	0.0919568806199	0.316713354204	0.098	0.066	0.032
415	"ENSG00000100354"	"TNRC6B"	chr22	+	40125771	40125862	40117054	40117128	40156114	40156182	415	50	0	84	1	190	100	0.398169377518	0.677782156389	1.0	0.978	0.022
416	"ENSG00000100354"	"TNRC6B"	chr22	+	40246014	40246102	40177924	40178140	40251178	40251200	416	108	0	65	1	187	100	0.340072965186	0.631153137418	1.0	0.972	0.028
418	"ENSG00000100354"	"TNRC6B"	chr22	+	40270121	40270280	40264687	40267036	40273424	40273600	418	70	31	8	33	200	100	9.84280736915e-08	4.02281327064e-05	0.53	0.108	0.422
420	"ENSG00000100354"	"TNRC6B"	chr22	+	40312504	40312651	40310816	40310993	40312901	40312997	420	164	3	128	0	200	100	0.243175264062	0.578546829972	0.965	1.0	-0.035
425	"ENSG00000100225"	"FBXO7"	chr22	+	32478980	32479275	32474675	32475124	32483896	32483983	425	128	9	93	1	200	100	0.0085025308586	0.0657369262673	0.877	0.979	-0.102
426	"ENSG00000100225"	"FBXO7"	chr22	+	32478980	32479275	32475256	32475398	32483896	32483983	426	74	5	40	3	200	100	0.874533819298	1.0	0.881	0.87	0.011
427	"ENSG00000100225"	"FBXO7"	chr22	+	32479132	32479275	32474797	32475124	32483896	32484124	427	76	9	52	1	200	100	0.0115009674661	0.0795312665389	0.809	0.963	-0.154
428	"ENSG00000100225"	"FBXO7"	chr22	+	32479132	32479275	32475236	32475398	32483896	32484124	428	66	5	42	3	200	100	0.85320851404	1.0	0.868	0.875	-0.007
430	"ENSG00000100150"	"DEPDC5"	chr22	+	31861367	31861433	31857444	31857553	31870589	31870744	430	1	6	6	5	165	100	0.0379370001066	0.176272588101	0.092	0.421	-0.329
